行政区划代码,单位名称,省代码,市代码,省,省简称,市,市简称
110000,北京市,110000,110000,北京市,北京,北京市,北京
110101,东城区,110000,110100,北京市,北京,北京市,北京
110102,西城区,110000,110100,北京市,北京,北京市,北京
110105,朝阳区,110000,110100,北京市,北京,北京市,北京
110106,丰台区,110000,110100,北京市,北京,北京市,北京
110107,石景山区,110000,110100,北京市,北京,北京市,北京
110108,海淀区,110000,110100,北京市,北京,北京市,北京
110109,门头沟区,110000,110100,北京市,北京,北京市,北京
110111,房山区,110000,110100,北京市,北京,北京市,北京
110112,通州区,110000,110100,北京市,北京,北京市,北京
110113,顺义区,110000,110100,北京市,北京,北京市,北京
110114,昌平区,110000,110100,北京市,北京,北京市,北京
110115,大兴区,110000,110100,北京市,北京,北京市,北京
110116,怀柔区,110000,110100,北京市,北京,北京市,北京
110117,平谷区,110000,110100,北京市,北京,北京市,北京
110118,密云区,110000,110100,北京市,北京,北京市,北京
110119,延庆区,110000,110100,北京市,北京,北京市,北京
120000,天津市,120000,120000,天津市,天津,天津市,天津
120101,和平区,120000,120100,天津市,天津,天津市,天津
120102,河东区,120000,120100,天津市,天津,天津市,天津
120103,河西区,120000,120100,天津市,天津,天津市,天津
120104,南开区,120000,120100,天津市,天津,天津市,天津
120105,河北区,120000,120100,天津市,天津,天津市,天津
120106,红桥区,120000,120100,天津市,天津,天津市,天津
120110,东丽区,120000,120100,天津市,天津,天津市,天津
120111,西青区,120000,120100,天津市,天津,天津市,天津
120112,津南区,120000,120100,天津市,天津,天津市,天津
120113,北辰区,120000,120100,天津市,天津,天津市,天津
120114,武清区,120000,120100,天津市,天津,天津市,天津
120115,宝坻区,120000,120100,天津市,天津,天津市,天津
120116,滨海新区,120000,120100,天津市,天津,天津市,天津
120117,宁河区,120000,120100,天津市,天津,天津市,天津
120118,静海区,120000,120100,天津市,天津,天津市,天津
120119,蓟州区,120000,120100,天津市,天津,天津市,天津
130000,河北省,130000,130000,河北省,河北,河北省,河北省
130100,石家庄市,130000,130100,河北省,河北,石家庄市,石家庄
130102,长安区,130000,130100,河北省,河北,石家庄市,石家庄
130104,桥西区,130000,130100,河北省,河北,石家庄市,石家庄
130105,新华区,130000,130100,河北省,河北,石家庄市,石家庄
130107,井陉矿区,130000,130100,河北省,河北,石家庄市,石家庄
130108,裕华区,130000,130100,河北省,河北,石家庄市,石家庄
130109,藁城区,130000,130100,河北省,河北,石家庄市,石家庄
130110,鹿泉区,130000,130100,河北省,河北,石家庄市,石家庄
130111,栾城区,130000,130100,河北省,河北,石家庄市,石家庄
130121,井陉县,130000,130100,河北省,河北,石家庄市,石家庄
130123,正定县,130000,130100,河北省,河北,石家庄市,石家庄
130125,行唐县,130000,130100,河北省,河北,石家庄市,石家庄
130126,灵寿县,130000,130100,河北省,河北,石家庄市,石家庄
130127,高邑县,130000,130100,河北省,河北,石家庄市,石家庄
130128,深泽县,130000,130100,河北省,河北,石家庄市,石家庄
130129,赞皇县,130000,130100,河北省,河北,石家庄市,石家庄
