列1,车站名,电报码,拼音,首字母,编号,城市编号,城市,省份,车站英文名,国家英文名,国家
@bjb,北京北,VAP,beijingbei,bjb,0,0357,北京,北京,,,
@bjd,北京东,BOP,beijingdong,bjd,1,0357,北京,北京,,,
@bji,北京,BJP,beijing,bj,2,0357,北京,北京,,,
@bjn,北京南,VNP,beijingnan,bjn,3,0357,北京,北京,,,
@bjx,北京大兴,IPP,beijingdaxing,bjdx,4,0357,北京,北京,,,
@bjx,北京西,BXP,beijingxi,bjx,5,0357,北京,北京,,,
@bjy,北京朝阳,IFP,beijingchaoyang,bjcy,6,0357,北京,北京,,,
@cqb,重庆北,CUW,chongqingbei,cqb,7,1717,重庆,重庆,,,
@cqi,重庆,CQW,chongqing,cq,9,1717,重庆,重庆,,,
@cqn,重庆南,CRW,chongqingnan,cqn,10,1717,重庆,重庆,,,
@cqx,重庆西,CXW,chongqingxi,cqx,12,1717,重庆,重庆,,,
@sha,上海,SHH,shanghai,sh,13,0712,上海,上海,,,
@shn,上海南,SNH,shanghainan,shn,14,0712,上海,上海,,,
@shq,上海虹桥,AOH,shanghaihongqiao,shhq,15,0712,上海,上海,,,
@shx,上海西,SXH,shanghaixi,shx,16,0712,上海,上海,,,
@tjb,天津北,TBP,tianjinbei,tjb,17,0359,天津,天津,,,
@tji,天津,TJP,tianjin,tj,18,0359,天津,天津,,,
@tjn,天津南,TIP,tianjinnan,tjn,19,0359,天津,天津,,,
@tjx,天津西,TXP,tianjinxi,tjx,20,0359,天津,天津,,,
@wxi,万象,YTM,wanxiang,wx,21,9206,万象,#N/A,vientiane,lao,老挝
@bji,滨江,BJB,binjiang,bj,22,0034,哈尔滨,黑龙江,,,
@bla,百浪,BRZ,bailang,bl,23,1607,南宁,广西,,,
@bmq,班猫箐,BNM,banmaoqing,bmq,24,1902,昆明,云南,,,
@byi,北营,BIV,beiying,by,25,0405,太原,山西,,,
@cch,长春,CCT,changchun,cc,26,0110,长春,吉林,,,
@ccn,长春南,CET,changchunnan,ccn,27,0110,长春,吉林,,,
@ccx,长春西,CRT,changchunxi,ccx,28,0110,长春,吉林,,,
@cdd,成都东,ICW,chengdudong,cdd,30,1707,成都,四川,,,
@cdn,成都南,CNW,chengdunan,cdn,31,1707,成都,四川,,,
@cdu,成都,CDW,chengdu,cd,33,1707,成都,四川,,,
@cdx,成都西,CMW,chengduxi,cdx,34,1707,成都,四川,,,
@cgy,陈官营,CAJ,chenguanying,cgy,35,2102,兰州,甘肃,,,
@cqi,长清,CNK,changqing,cq,36,0602,济南,山东,,,
@csh,长沙,CSQ,changsha,cs,37,1407,长沙,湖南,,,
@csn,长沙南,CWQ,changshanan,csn,38,1407,长沙,湖南,,,
@csx,长沙西,RXQ,changshaxi,csx,39,1407,长沙,湖南,,,
@czh,常庄,CVK,changzhuang,cz,40,0602,济南,山东,,,
@dch,大成,DCT,dacheng,dc,41,0205,沈阳,辽宁,,,
@dni,大拟,DNZ,dani,dn,42,1607,南宁,广西,,,
@dsp,读书铺,DPM,dushupu,dsp,43,1902,昆明,云南,,,
@dwt,大王滩,DZZ,dawangtan,dwt,44,1607,南宁,广西,,,
@dyu,大元,DYZ,dayuan,dy,45,1607,南宁,广西,,,
@fsc,丰水村,FSJ,fengshuicun,fsc,46,2102,兰州,甘肃,,,
